Item_A;Item_B;r
A1_VoltarTela;C5_TocaRapido;0.7739657203656004
B4_AcharAposUpd;C2_ControlesPos;0.7522936883620366
C2_ControlesPos;D5_TelasLimpas;0.7502807079210376
B3_LayoutConsist;E3_Estetica;0.7226238322777466
A1_VoltarTela;E2_InfoVisivel;0.7142564765365208
A2_ControleRepr;C5_TocaRapido;0.697823362528447
E1_SemDistracao;E4_HomeRelevante;0.6941303583402273
A1_VoltarTela;A2_ControleRepr;0.6448910578805509
C2_ControlesPos;E1_SemDistracao;0.6390443882237052
A1_VoltarTela;A5_RespeitaConfig;0.6389061262317106
B3_LayoutConsist;B4_AcharAposUpd;0.6328102327465726
B3_LayoutConsist;D3_GerirPlaylists;0.6234863136752936
B4_AcharAposUpd;D5_TelasLimpas;0.6216033163474881
B5_PrevisivBotoes;C2_ControlesPos;0.6138023967188977
D5_TelasLimpas;E1_SemDistracao;0.6100306355511627
B2_IconesEsperados;B3_LayoutConsist;0.6028540664663353
E3_Estetica;E4_HomeRelevante;0.5986160390792387
B5_PrevisivBotoes;C5_TocaRapido;0.5982500558797929
B3_LayoutConsist;C2_ControlesPos;0.5942058273164098
B4_AcharAposUpd;E3_Estetica;0.5903656051886065
D4_AdaptaUso;E4_HomeRelevante;0.5853701913607251
E1_SemDistracao;E3_Estetica;0.5842757419987117
A2_ControleRepr;D4_AdaptaUso;0.583427491338873
D5_TelasLimpas;E3_Estetica;0.5735374292269446
E2_InfoVisivel;E3_Estetica;0.5727203452119101
C5_TocaRapido;E2_InfoVisivel;0.572241429870689
D3_GerirPlaylists;E3_Estetica;0.5700694935965471
D5_TelasLimpas;E4_HomeRelevante;0.5651275554346689
B3_LayoutConsist;E1_SemDistracao;0.564405356994624
B4_AcharAposUpd;D3_GerirPlaylists;0.5622847467469017
D1_AcoesRapidas;E3_Estetica;0.5597269624573379
D3_GerirPlaylists;E1_SemDistracao;0.5593647658091635
B1_SemelhApps;B2_IconesEsperados;0.55916087909893
C2_ControlesPos;D3_GerirPlaylists;0.5576971300162823
A4_CancelarAcao;E1_SemDistracao;0.5558570202211117
D3_GerirPlaylists;D4_AdaptaUso;0.5552869588620238
B2_IconesEsperados;C2_ControlesPos;0.5547713533741511
A1_VoltarTela;E1_SemDistracao;0.5526567100698958
D4_AdaptaUso;E1_SemDistracao;0.5526284257652917
C5_TocaRapido;E1_SemDistracao;0.5500514343565439
A2_ControleRepr;E3_Estetica;0.5491405132084153
B4_AcharAposUpd;B5_PrevisivBotoes;0.5462681147838588
B2_IconesEsperados;B4_AcharAposUpd;0.5449642506251777
B2_IconesEsperados;E2_InfoVisivel;0.5448003917454
B1_SemelhApps;E2_InfoVisivel;0.5439729171037273
A5_RespeitaConfig;E2_InfoVisivel;0.5425752273434072
B4_AcharAposUpd;C1_SemAcidente;0.5393083449089929
A2_ControleRepr;B2_IconesEsperados;0.535748059595114
C2_ControlesPos;E3_Estetica;0.5340005677300365
A1_VoltarTela;A4_CancelarAcao;0.5336688525630995
D3_GerirPlaylists;E4_HomeRelevante;0.5281113600869866
A1_VoltarTela;D4_AdaptaUso;0.5243024438661087
C2_ControlesPos;E4_HomeRelevante;0.5209759632006272
C5_TocaRapido;D5_TelasLimpas;0.5205075998371443
A2_ControleRepr;E2_InfoVisivel;0.5196259958139114
B1_SemelhApps;B3_LayoutConsist;0.5191146875575636
B3_LayoutConsist;D5_TelasLimpas;0.5185003611421759
A1_VoltarTela;E3_Estetica;0.5173812158533063
A4_CancelarAcao;B1_SemelhApps;0.5164572782302719
D4_AdaptaUso;E3_Estetica;0.5164507412832385
D3_GerirPlaylists;D5_TelasLimpas;0.5103650900631318
B2_IconesEsperados;C1_SemAcidente;0.5099316021614201
B1_SemelhApps;D1_AcoesRapidas;0.5073920250188502
B4_AcharAposUpd;D1_AcoesRapidas;0.5027379868830835
A2_ControleRepr;B1_SemelhApps;0.5008130804264272
