Bloco;Item;N;Media;DP;Mediana;Pct_Baixo_1_2;Pct_Neutro_3;Pct_Alto_4_5
H3_Controle;A1_VoltarTela;44;3.25;1.08;4.0;20.5;20.5;59.1
H3_Controle;A2_ControleRepr;35;3.03;1.25;4.0;28.6;17.1;54.3
H3_Controle;A3_DesfazerPlay;71;2.58;1.09;3.0;46.5;28.2;25.4
H3_Controle;A4_CancelarAcao;86;3.62;1.15;4.0;15.1;32.6;52.3
H3_Controle;A5_RespeitaConfig;86;3.79;1.33;4.0;16.3;19.8;64.0
H4_Consistencia;B1_SemelhApps;86;3.87;1.13;4.0;10.5;17.4;72.1
H4_Consistencia;B2_IconesEsperados;86;4.12;1.03;4.0;9.3;12.8;77.9
H4_Consistencia;B3_LayoutConsist;86;3.47;1.27;4.0;24.4;23.3;52.3
H4_Consistencia;B4_AcharAposUpd;86;3.52;1.19;4.0;16.3;27.9;55.8
H4_Consistencia;B5_PrevisivBotoes;51;3.06;1.05;3.0;27.5;27.5;45.1
H5_PrevencaoErros;C1_SemAcidente;86;3.37;1.26;4.0;25.6;20.9;53.5
H5_PrevencaoErros;C2_ControlesPos;63;2.92;1.1;3.0;28.6;33.3;38.1
H5_PrevencaoErros;C3_SugestoesBusca;86;3.77;1.23;4.0;17.4;16.3;66.3
H5_PrevencaoErros;C4_AvisoPerda;86;3.17;1.26;3.0;31.4;24.4;44.2
H5_PrevencaoErros;C5_TocaRapido;56;3.09;1.05;3.0;28.6;23.2;48.2
H7_Flexibilidade;D1_AcoesRapidas;86;3.81;1.13;4.0;14.0;18.6;67.4
H7_Flexibilidade;D2_Recomendacoes;86;3.23;1.24;3.5;31.4;18.6;50.0
H7_Flexibilidade;D3_GerirPlaylists;86;3.37;1.29;4.0;24.4;22.1;53.5
H7_Flexibilidade;D4_AdaptaUso;86;3.65;1.22;4.0;15.1;26.7;58.1
H7_Flexibilidade;D5_TelasLimpas;66;2.91;1.12;3.0;33.3;25.8;40.9
H8_Estetica;E1_SemDistracao;86;3.08;1.36;3.0;36.0;22.1;41.9
H8_Estetica;E2_InfoVisivel;86;4.26;1.05;5.0;7.0;10.5;82.6
H8_Estetica;E3_Estetica;86;3.81;1.13;4.0;11.6;25.6;62.8
H8_Estetica;E4_HomeRelevante;86;2.99;1.35;3.0;40.7;17.4;41.9
