Bloco;Item;r_item_total;alpha_bloco;alpha_sem_item;delta
H3_Controle;A4_CancelarAcao;-0.069;0.849;0.807;-0.042
H3_Controle;A5_RespeitaConfig;0.02;0.849;0.823;-0.026
H3_Controle;A3_DesfazerPlay;0.228;0.849;0.853;0.005
H3_Controle;A2_ControleRepr;0.417;0.849;0.778;-0.071
H3_Controle;A1_VoltarTela;0.618;0.849;0.66;-0.189
H4_Consistencia;B3_LayoutConsist;0.483;0.785;0.752;-0.033
H4_Consistencia;B1_SemelhApps;0.518;0.785;0.763;-0.022
H4_Consistencia;B4_AcharAposUpd;0.524;0.785;0.745;-0.041
H4_Consistencia;B2_IconesEsperados;0.53;0.785;0.732;-0.053
H4_Consistencia;B5_PrevisivBotoes;0.602;0.785;0.828;0.043
H5_PrevencaoErros;C3_SugestoesBusca;-0.003;0.672;0.684;0.012
H5_PrevencaoErros;C1_SemAcidente;0.119;0.672;0.627;-0.045
H5_PrevencaoErros;C4_AvisoPerda;0.242;0.672;0.62;-0.052
H5_PrevencaoErros;C5_TocaRapido;0.433;0.672;0.63;-0.042
H5_PrevencaoErros;C2_ControlesPos;0.499;0.672;0.623;-0.049
H7_Flexibilidade;D2_Recomendacoes;0.379;0.736;0.744;0.008
H7_Flexibilidade;D1_AcoesRapidas;0.43;0.736;0.708;-0.028
H7_Flexibilidade;D5_TelasLimpas;0.509;0.736;0.755;0.019
H7_Flexibilidade;D4_AdaptaUso;0.525;0.736;0.667;-0.069
H7_Flexibilidade;D3_GerirPlaylists;0.551;0.736;0.636;-0.101
H8_Estetica;E2_InfoVisivel;0.451;0.809;0.833;0.024
H8_Estetica;E4_HomeRelevante;0.647;0.809;0.751;-0.057
H8_Estetica;E1_SemDistracao;0.702;0.809;0.722;-0.087
H8_Estetica;E3_Estetica;0.73;0.809;0.714;-0.094
